Line	Elapsed	Date	Experiment	EGFP_untreated_1	EGFP_untreated_2	EGFP_untreated_3	EGFP_DOX_1	EGFP_DOX_2	EGFP_DOX_3	Ptf1a_untreated_1	Ptf1a_untreated_2	Ptf1a_untreated_3	Ptf1a_DOX_1	Ptf1a_DOX_2	Ptf1a_DOX_3
12738	30	180120	2	17.285	16.25041	13.75169	13.98406	15.73897	13.71511	10.22045	13.6133	14.48538	11.91517	9.901428	9.776299
12738	32	180120	2	17.99186	17.27211	14.0541	14.60643	16.304	14.72134	11.09624	14.37458	15.39415	12.17379	10.24816	10.2055
12738	34	180120	2	18.8543	18.08019	14.93963	15.38555	17.40318	15.31671	11.03731	15.20142	15.94018	12.94105	10.77559	10.63128
12738	36	180120	2	20.08747	18.98938	15.73141	16.0468	18.22909	16.28084	11.83828	15.96834	17.20034	13.08407	11.24081	11.1353
12738	38	180120	2	21.11005	20.13601	16.52668	17.22718	18.9052	16.87002	12.81723	16.92103	18.25783	14.20998	12.17054	11.71965
12738	40	180120	2	22.29306	22.15621	17.64315	17.84479	19.99643	17.85687	14.02537	18.18353	19.04381	14.63354	12.37424	12.34419
12738	42	180120	2	23.36547	22.72498	18.24739	18.92873	21.44682	18.30235	13.93713	19.08594	19.81984	15.4342	12.70795	12.3377
12738	44	180120	2	24.07888	23.46744	18.79548	19.94474	22.9601	19.48668	15	19.88909	21.25904	15.89584	12.61854	13.88511
12738	46	180120	2	25.87961	24.85049	20.01626	21.23787	23.95656	20.64823	15.92834	20.57729	22.06716	16.1708	13.23335	14.30499
12738	48	180120	2	27.38875	26.55439	20.57847	22.07252	25.13448	21.60999	17.03722	21.23141	23.97197	16.8923	13.94773	15.28393
12738	50	180120	2	29.25029	28.57678	21.86778	23.71236	27.1247	22.95814	18.58905	22.31459	25.34185	18.11995	14.93407	15.81106
12738	52	180120	2	30.57526	29.38245	22.81083	25.19427	28.97189	24.21211	19.03926	23.12322	26.32187	18.88258	15.60283	16.72961
12738	54	180120	2	31.72562	31.43532	23.75935	27.2508	30.64021	26.08559	20.32572	24.70218	27.5994	19.00364	16.29349	17.50279
12738	56	180120	2	33.94009	33.72416	25.27802	28.39729	32.54005	27.54407	21.6153	26.60521	29.67782	20.15662	16.82654	19.01966
12738	58	180120	2	35.34285	36.03765	26.32518	29.46265	33.74568	28.67605	22.82103	27.65493	31.4472	21.47673	18.2638	19.5684
12738	60	180120	2	37.65444	38.33023	27.64959	30.75428	35.96244	30.07401	24.1227	29.04105	33.0374	21.66831	18.97428	20.39928
12738	62	180120	2	39.28523	39.5661	28.85744	32.42433	38.57941	31.55407	25.26667	30.49804	34.81235	23.10036	20.68447	21.59831
12738	64	180120	2	41.43101	42.42667	32.13395	34.81018	39.73585	33.74989	27.16352	33.06935	37.29839	24.45979	21.6142	23.00877
12738	66	180120	2	43.11515	44.73958	32.48284	36.84021	41.90585	35.41262	28.57343	34.10963	38.89812	26.1184	22.46394	23.55344
12738	68	180120	2	45.64516	47.10818	33.7662	38.83533	44.1846	37.37334	30.77096	35.89698	41.74762	27.51049	24.56285	25.08564
12738	70	180120	2	46.96941	49.29477	35.87135	40.83588	46.21964	39.22712	32.45716	38.73763	44.60145	28.28242	25.90906	26.37802
12738	72	180120	2	49.54237	51.35459	37.39121	41.86256	48.25469	41.20542	33.97057	41.35334	47.11371	29.61611	27.31197	28.10281
12738	0	180319	3	12.56244	11.45536	11.27383	13.33962	13.43667	13.80581	13.77642	20.0001	16.21328	17.3854	18.79482	16.18034
12738	2	180319	3	12.98581	11.97599	11.83552	13.664	13.02781	14.11489	14.38059	20.93135	17.26855	17.78717	19.12279	16.34982
12738	4	180319	3	12.66678	12.12098	11.9621	13.50526	13.11056	14.55905	15.49172	21.39297	18.213	17.96557	18.63201	16.49718
12738	6	180319	3	13.17874	12.63621	12.50069	13.43415	13.4863	14.56482	15.74201	22.30009	18.81289	17.95251	19.20883	16.58159
12738	8	180319	3	13.75777	12.89273	12.75185	13.53655	14.10926	14.74186	16.45909	23.60041	19.46535	18.48008	19.5971	17.36485
12738	10	180319	3	14.54406	13.24374	13.47511	14.48479	14.90253	15.21095	17.50749	24.56295	19.47765	18.82018	19.54233	17.60385
12738	12	180319	3	15.34193	14.36674	14.44173	15.03716	15.99368	15.84731	18.84746	25.89145	20.30728	18.7749	19.6512	17.8309
12738	14	180319	3	16.64974	15.47403	15.19265	16.11658	17.1609	16.86069	20.00075	28.07996	21.26346	19.73608	20.58441	18.63923
12738	16	180319	3	16.92822	16.20112	15.91177	17.13058	17.79726	17.40712	21.13221	29.62474	22.41872	20.07718	21.23804	18.97249
12738	18	180319	3	18.43794	17.03066	16.88414	18.41097	18.96856	17.48414	22.19968	30.64547	23.33726	21.27662	21.86328	19.96189
12738	20	180319	3	19.18953	17.92277	17.62841	18.98561	20.31595	18.99618	23.26939	32.43181	24.34094	21.92231	23.02877	20.75409
12738	22	180319	3	20.59083	18.67539	18.23776	19.8177	21.2566	19.83397	24.8857	34.40425	25.75316	22.36791	23.72437	22.08212
12738	24	180319	3	22.11728	19.45506	19.69765	21.09558	22.97009	21.19497	26.49162	36.40092	26.94559	23.57395	24.87862	22.97485
12738	26	180319	3	23.26871	21.12963	20.38875	22.39431	24.82257	21.63831	28.03404	39.19481	28.84587	24.47532	25.87423	23.41449
12738	28	180319	3	25.22545	22.3357	21.84757	24.1134	26.39747	23.40748	29.73412	42.0954	29.92595	26.08974	26.91571	24.83258
12738	30	180319	3	27.16495	23.74142	22.84012	26.06166	28.4119	25.30946	31.41149	44.85032	31.52995	26.95556	27.99917	25.54704
12738	32	180319	3	28.66651	25.14865	24.46672	27.11106	30.29046	27.40356	33.18543	47.97553	33.26929	27.8653	29.77867	27.03735
12738	34	180319	3	29.79896	27.12588	25.51447	28.73238	32.40097	29.41495	36.61243	50.48531	36.15708	28.99731	31.33727	28.99959
